municipio,ano,num_cons_residencial,kWh_residencial,num_cons_comercial,kWh_comercial,num_cons_rural,kWh_rural,num_cons_industrial,kWh_industrial,num_cons_iluminacao_publica,kWh_iluminacao_publica,num_cons_poder_publico,kWh_poder_publico,num_cons_servico_publico,kWh_servico_publico,num_cons_consumo_proprio,kWh_consumo_proprio,num_cons_total,kWh_total
Cesário Lange,2021,6817,12608692,675,7954540,938,8383298,78,18461644,23,1433053,86,709210,30,3108590,1,59780,8648,52718807
Ibiúna,2021,17997,40965640,933,18448794,449,97062572,47,30177374,6,2755036,98,1247396,25,180821147,3,47513,19558,371525472
Iperó,2021,11664,24484392,244,7181364,177,1665076,69,32584648,5,2052478,135,14934949,32,2589301,0,0,12326,85492208
Itapetininga,2021,62317,129179440,2680,45817625,1842,26880359,202,332168471,2,12202658,405,6213122,68,17205285,11,161170,67527,569828130
Itu,2021,68963,194005693,3620,101965999,372,68560122,374,282899639,100,11658685,394,7922487,99,13130313,4,167025,73926,680309963
Jumirim,2021,1080,2233807,66,584619,236,4945906,36,18028398,8,322720,27,322595,8,375598,0,0,1461,26813543
Mairinque,2021,20335,47455143,546,8248828,94,1301055,68,79139368,8,3901073,106,1016834,37,4648084,1,30844,21195,145741229
Piedade,2021,18634,33156316,1730,14118309,5449,34867328,102,6687123,15,2594326,159,963881,33,4034033,2,92543,26124,96513859
Pilar do Sul,2021,11296,19495611,962,9159911,1447,8253168,71,3817068,22,1713298,84,677856,26,1473961,2,36506,13910,44627379
Porto Feliz,2021,21675,68301159,1075,28501159,1311,20040085,101,124243491,49,4322820,208,3333579,33,4292952,4,137121,24456,253172366
Salto,2021,55648,137137519,2146,49230420,120,2096297,342,430116507,138,9838029,191,2907767,53,12255445,6,177935,58644,643759919
Salto de Pirapora,2021,19714,39256443,466,10341831,164,1847752,52,350941292,18,3688449,141,1250194,26,4378671,1,3192,20582,411707824
São Miguel Arcanjo,2021,10489,18784070,527,5276674,2365,12385019,54,2441327,27,2508712,126,703731,30,2458785,5,16542,13623,44574860
São Roque,2021,34880,86721520,1395,43155110,399,4834709,159,54864189,35,10654131,232,2292024,60,9349855,4,93818,37164,211965356
Sarapuí,2021,4645,7937269,149,1416508,546,5728128,20,6107512,1,1302036,47,256084,17,1299698,3,17437,5428,24064672
Sorocaba,2021,304273,728579565,13056,409331957,280,5567866,1166,907336401,320,50280151,997,25471946,133,55912723,28,761105,320253,2183241714
Tapiraí,2021,3100,5249264,242,2349239,498,2423974,24,787485,4,654843,52,241357,15,480016,3,29588,3938,12215766
Tatuí,2021,50526,100829666,3812,62166050,1941,20184848,354,203743469,75,8519118,258,3097349,54,14916856,4,176580,57024,413633936
Tietê,2021,14766,32164282,1569,16398095,869,17790643,314,90625775,45,4271156,122,1078570,51,6754320,1,14928,17737,169097769
Votorantim,2021,50010,113973023,1820,39385069,27,258398,127,343950575,76,10599035,217,4869057,48,11779217,5,149436,52330,524963810
Americana,2021,109160,263504974,7359,132310763,25,233949,1010,604673287,112,18937159,429,8907059,69,30377679,13,343286,118177,1059288156
Campinas,2021,471430,1174429673,33519,1037038860,822,120477730,1776,602081005,125,100317389,2080,116131300,203,94368726,45,9213578,510000,3254058261
Cosmópolis,2021,24004,52257824,973,12477342,121,1437221,82,75333817,16,4681279,149,1564563,10,5260973,1,57441,25356,153070460
Elias Fausto,2021,6257,15223529,204,4384666,345,5147502,60,64957908,3,1391788,79,748773,21,2152847,1,15855,6970,94022868
Holambra,2021,85,277756,1,5041,0,0,0,0,2,19861,3,3206,2,403093,0,0,93,708957
Hortolândia,2021,90600,204682581,2955,222837624,32,553227,297,172337634,151,9360296,264,7062332,25,11856174,3,117448,94327,628807316
Indaiatuba,2021,106472,297590405,4821,157509814,626,11064639,865,413132804,351,28088467,476,9367956,79,38620261,12,302300,113702,955676646
Jaguariúna,2021,23809,62708928,1541,41829936,271,3600253,196,272579371,26,8863444,166,2920921,46,10017359,6,215504,26061,402735716
Monte Mor,2021,27077,59075187,699,15717822,335,7208708,112,95306744,18,5881664,129,1518307,39,4798975,3,53130,28412,189560537
Nova Odessa,2021,26798,62663691,1156,33355308,74,1261884,298,304315638,20,7393514,201,3864691,15,6215036,2,108004,28564,419177766
Paulínia,2021,44563,121927375,2377,115039019,111,2580336,222,992032993,13,13412951,294,13528848,55,48008044,3,107755,47638,1306637321
Pedreira,2021,17802,43192178,1192,18482799,140,2296494,377,130238110,12,3562447,190,1577261,43,6223916,2,28863,19758,205602068
Alambari,2022,2595,4753006,96,1231719,121,2139827,17,1275500,8,772297,37,314017,14,384919,1,10917,2889,10882202
Alumínio,2022,5533,11857248,183,5657157,5,21412,15,4833375709,8,1367348,56,1096154,16,1439167,0,0,5816,4854814195
